,2018rank,city,state,2018estimate,2010census,change(%),2016 land area(sq mi),2016 land area(sq km),2016 population density (/sq mi),2016 population density (/sq km),location,wiki_city_url,Annual high temperature(F),Annual low temperature(F),Average temperature(F),Average annual precipitation - rainfall(in)
27,28,Las Vegas,Nevada,644644,583756,10.43,134.4,348.1,4709.0,1818.0,36°13′45″N 115°15′36″W﻿ / ﻿36.2292°N 115.2601°W,https://en.wikipedia.org/wiki/Las_Vegas,80.0,58.6,69.3,4.17
28,29,Louisville,Kentucky,620118,597337,3.81,263.5,682.5,2339.0,903.0,38°09′55″N 85°38′51″W﻿ / ﻿38.1654°N 85.6474°W,https://en.wikipedia.org/wiki/Louisville,67.8,48.6,58.2,44.89
29,30,Baltimore,Maryland,602495,620961,-2.97,80.9,209.5,7598.0,2934.0,39°18′00″N 76°36′38″W﻿ / ﻿39.3000°N 76.6105°W,https://en.wikipedia.org/wiki/Baltimore,66.3,50.6,58.45,40.72
30,31,Milwaukee,Wisconsin,592025,594833,-0.47,96.2,249.2,6186.0,2388.0,43°03′48″N 87°58′00″W﻿ / ﻿43.0633°N 87.9667°W,https://en.wikipedia.org/wiki/Milwaukee,55.5,39.9,47.7,34.41
31,32,Albuquerque,New Mexico,560218,545852,2.63,188.2,487.4,2972.0,1147.0,35°06′20″N 106°38′51″W﻿ / ﻿35.1056°N 106.6474°W,https://en.wikipedia.org/wiki/Albuquerque,68.8,45.4,57.1,9.39
32,33,Tucson,Arizona,545975,520116,4.97,230.8,597.8,2299.0,888.0,32°09′11″N 110°52′14″W﻿ / ﻿32.1531°N 110.8706°W,https://en.wikipedia.org/wiki/Tucson,83.7,58.1,70.9,11.92
33,34,Fresno,California,530093,494665,7.16,114.4,296.3,4563.0,1762.0,36°47′01″N 119°47′36″W﻿ / ﻿36.7836°N 119.7934°W,https://en.wikipedia.org/wiki/Fresno,76.9,51.3,64.1,12.83
34,35,Mesa,Arizona,508958,439041,15.92,137.9,357.2,3514.0,1357.0,33°24′07″N 111°43′03″W﻿ / ﻿33.4019°N 111.7174°W,https://en.wikipedia.org/wiki/Mesa,86.4,57.5,71.95,9.29
35,36,Sacramento,California,508529,466488,9.01,97.9,253.6,5059.0,1953.0,38°34′00″N 121°28′07″W﻿ / ﻿38.5666°N 121.4686°W,https://en.wikipedia.org/wiki/Sacramento,73.6,48.3,60.95,18.51
36,37,Atlanta,Georgia,498044,420003,18.58,133.5,345.8,3539.0,1366.0,33°45′46″N 84°25′22″W﻿ / ﻿33.7629°N 84.4227°W,https://en.wikipedia.org/wiki/Atlanta,70.3,52.5,61.4,47.12
37,38,Kansas City,Missouri,491918,459787,6.99,315.0,815.8,1528.0,590.0,39°07′30″N 94°33′04″W﻿ / ﻿39.1251°N 94.5510°W,https://en.wikipedia.org/wiki/Kansas_City,66.0,47.4,56.7,39.06
38,39,Colorado Springs,Colorado,472688,416427,13.51,195.6,506.6,2378.0,918.0,38°52′02″N 104°45′39″W﻿ / ﻿38.8673°N 104.7607°W,https://en.wikipedia.org/wiki/Colorado_Springs,62.1,35.8,48.95,16.56
39,40,Miami,Florida,470914,399457,17.89,36.0,93.2,12599.0,4865.0,25°46′31″N 80°12′31″W﻿ / ﻿25.7752°N 80.2086°W,https://en.wikipedia.org/wiki/Miami,84.2,69.9,77.05,61.93
40,41,Raleigh,North Carolina,469298,403892,16.19,145.1,375.8,3163.0,1221.0,35°49′50″N 78°38′30″W﻿ / ﻿35.8306°N 78.6418°W,https://en.wikipedia.org/wiki/Raleigh,71.3,50.3,60.8,46.58
41,42,Omaha,Nebraska,468262,408958,14.5,133.2,345.0,3356.0,1296.0,41°15′52″N 96°02′42″W﻿ / ﻿41.2644°N 96.0451°W,https://en.wikipedia.org/wiki/Omaha,61.8,40.3,51.05,30.63
42,43,Long Beach,California,467354,462257,1.1,50.3,130.3,9347.0,3609.0,33°48′33″N 118°09′19″W﻿ / ﻿33.8092°N 118.1553°W,https://en.wikipedia.org/wiki/Long_Beach,74.2,55.4,64.8,12.25
43,44,Virginia Beach,Virginia,450189,437994,2.78,244.7,633.8,1850.0,710.0,36°46′48″N 76°01′31″W﻿ / ﻿36.7800°N 76.0252°W,https://en.wikipedia.org/wiki/Virginia_Beach,68.9,52.3,60.6,-
44,45,Oakland,California,429082,390724,9.82,55.9,144.8,7514.0,2901.0,37°46′11″N 122°13′33″W﻿ / ﻿37.7698°N 122.2257°W,https://en.wikipedia.org/wiki/Oakland,67.0,51.4,59.2,23.99
45,46,Minneapolis,Minnesota,425403,382578,11.19,54.0,139.9,7660.0,2960.0,44°57′48″N 93°16′06″W﻿ / ﻿44.9633°N 93.2683°W,https://en.wikipedia.org/wiki/Minneapolis,55.1,37.2,46.15,30.64
46,47,Tulsa,Oklahoma,400669,391906,2.24,196.8,509.7,2048.0,791.0,36°07′40″N 95°54′08″W﻿ / ﻿36.1279°N 95.9023°W,https://en.wikipedia.org/wiki/Tulsa,71.2,50.2,60.7,40.91
47,48,Arlington,Texas,398112,365438,8.94,95.8,248.1,4100.0,1600.0,32°42′03″N 97°07′29″W﻿ / ﻿32.7007°N 97.1247°W,https://en.wikipedia.org/wiki/Arlington,77.1,55.1,66.1,38.36
48,49,Tampa,Florida,392890,335709,17.03,113.4,293.7,3326.0,1284.0,27°58′12″N 82°28′47″W﻿ / ﻿27.9701°N 82.4797°W,https://en.wikipedia.org/wiki/Tampa,81.7,65.0,73.35,46.31
